Date,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL
2000-04-07,76.9,92.12691075088505,1.14,1.84,9.64,41.73,32.19,9.94,50.0,20.75,38.47300021353833,74.56,86.55759455934415,1.0,1.83,5.79,25.46,11.04,7.08,40.31,16.21,38.47677343583173,2975224,1174509.7074715856,242435200,1086300,1028743,1736051,308300,40200,339700,2154075,123844353.11894085
2000-04-10,87.27,92.12691075088505,1.18,1.83,9.64,41.93,31.38,10.09,49.0,20.94,38.47300021353833,65.47,86.55759455934415,0.95,1.77,6.13,25.31,11.11,6.91,37.83,15.44,38.47677343583173,2956071,1174509.7074715856,212262400,420300,2168507,1938809,370900,71400,428200,2097711,123844353.11894085
2000-04-11,72.25,92.12691075088505,1.1,1.77,9.92,41.09,32.06,9.91,46.12,20.45,38.47300021353833,61.69,86.55759455934415,0.91,1.74,6.06,24.91,11.17,6.98,36.92,16.07,38.47677343583173,1896107,1174509.7074715856,541822400,183600,1736107,1954571,164700,375200,448100,2827440,123844353.11894085
2000-04-12,70.1,92.12691075088505,1.06,1.74,10.03,40.45,32.25,10.06,45.5,21.21,38.47300021353833,52.56,86.55759455934415,0.83,1.72,6.0,24.3,11.3,6.95,35.0,16.63,38.47677343583173,4351555,1174509.7074715856,941136000,742500,1262363,2969621,190400,295600,578800,2376528,123844353.11894085
2000-04-13,62.95,92.12691075088505,1.0,1.72,9.86,39.45,32.38,9.97,42.5,21.54,38.47300021353833,55.0,86.55759455934415,0.86,1.74,6.1,23.35,11.61,6.95,33.78,16.36,38.47677343583173,3736574,1174509.7074715856,529827200,50400,1485068,1902116,879500,219400,1471400,2299143,123844353.11894085
2000-04-14,62.77,92.12691075088505,0.98,1.71,9.58,36.48,33.25,10.0,40.5,20.91,38.47300021353833,50.53,86.55759455934415,0.85,1.73,5.72,22.47,11.48,6.93,32.52,15.98,38.47677343583173,2862685,1174509.7074715856,667620800,42300,1355855,3484964,220800,218800,630700,2009238,123844353.11894085
2000-04-17,57.27,92.12691075088505,0.98,1.76,9.47,36.58,32.62,9.91,40.44,20.24,38.47300021353833,48.58,86.55759455934415,0.94,1.76,5.82,22.77,11.61,6.8,33.58,15.05,38.47677343583173,2757555,1174509.7074715856,409561600,37800,1388930,3125094,393700,81200,966300,4051971,123844353.11894085
2000-04-18,55.79,92.12691075088505,1.1,1.83,9.47,38.56,33.06,9.75,41.75,19.48,38.47300021353833,53.17,86.55759455934415,0.96,1.81,5.55,23.93,11.61,6.61,35.4,15.46,38.47677343583173,3758243,1174509.7074715856,390924800,99900,1921437,3127616,437900,173800,1459800,3902976,123844353.11894085
2000-04-19,62.23,92.12691075088505,1.13,1.75,9.13,38.86,33.0,9.53,43.81,20.24,38.47300021353833,53.32,86.55759455934415,0.92,1.72,5.51,23.99,11.57,6.8,36.46,16.13,38.47677343583173,2423992,1174509.7074715856,520150400,46800,1658822,1431032,257900,159000,704500,3666663,123844353.11894085
2000-04-20,62.86,92.12691075088505,1.1,1.72,8.96,39.65,33.19,9.72,45.19,20.78,38.47300021353833,54.96,86.55759455934415,0.9,1.71,5.37,24.73,11.83,6.95,36.61,15.73,38.47677343583173,1453081,1174509.7074715856,722120000,37800,2938273,2597142,450500,502200,1051000,2478168,123844353.11894085
